Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",open,2024-08-11T07:27:20.651538Z,medium,low,untriaged,,,2024-08-11 07:27:20.638605+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/fileServer.ts', 'line': 33, 'column': 41, 'end_line': 33, 'end_column': 45}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639459+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/dataExport.ts', 'line': 61, 'column': 22, 'end_line': 61, 'end_column': 45}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639445+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/dataExport.ts', 'line': 80, 'column': 25, 'end_line': 80, 'end_column': 42}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639431+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/likeProductReviews.ts', 'line': 18, 'column': 24, 'end_line': 18, 'end_column': 35}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639417+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/likeProductReviews.ts', 'line': 25, 'column': 13, 'end_line': 25, 'end_column': 24}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639404+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/likeProductReviews.ts', 'line': 31, 'column': 36, 'end_line': 31, 'end_column': 47}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639390+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/likeProductReviews.ts', 'line': 42, 'column': 21, 'end_line': 42, 'end_column': 32}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639377+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/showProductReviews.ts', 'line': 34, 'column': 21, 'end_line': 34, 'end_column': 56}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639363+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/trackOrder.ts', 'line': 18, 'column': 20, 'end_line': 18, 'end_column': 58}"
javascript.express.mongodb.express-mongo-nosqli.express-mongo-nosqli,Detected a `../data/mongodb` statement that comes from a `req` argument. This could lead to NoSQL injection if the variable is user-controlled and is not properly sanitized. Be sure to properly sanitize the data if you absolutely must pass request data into a mongo query.,open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639349+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/updateProductReviews.ts', 'line': 18, 'column': 7, 'end_line': 18, 'end_column': 27}"
javascript.express.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as Sequelize which will protect your queries.",open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639336+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'data/static/codefixes/dbSchemaChallenge_1.ts', 'line': 5, 'column': 74, 'end_line': 5, 'end_column': 82}"
javascript.express.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as Sequelize which will protect your queries.",open,2024-08-11T07:27:20.651538Z,high,medium,untriaged,,,2024-08-11 07:27:20.639322+00:00,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'data/static/codefixes/dbSchemaChallenge_3.ts', 'line': 11, 'column': 74, 'end_line': 11, 'end_column': 82}"
