Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
go.grpc.security.grpc-server-insecure-connection.grpc-server-insecure-connection,"Found an insecure gRPC server without 'grpc.Creds()' or options with credentials. This allows for a connection without encryption to this server. A malicious attacker could tamper with the gRPC message, which could compromise the machine. Include credentials derived from an SSL certificate in order to create a secure gRPC connection. You can create credentials using 'credentials.NewServerTLSFromFile(""cert.pem"", ""cert.key"")'.",reviewing,2024-08-12T02:08:56.940212Z,high,high,reviewing,2024-08-12 02:08:57.124892+00:00,This needs to be fixed,2024-08-12 02:08:56.937183+00:00,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/shippingservice/main.go', 'line': 85, 'column': 9, 'end_line': 85, 'end_column': 25}"
go.grpc.security.grpc-server-insecure-connection.grpc-server-insecure-connection,"Found an insecure gRPC server without 'grpc.Creds()' or options with credentials. This allows for a connection without encryption to this server. A malicious attacker could tamper with the gRPC message, which could compromise the machine. Include credentials derived from an SSL certificate in order to create a secure gRPC connection. You can create credentials using 'credentials.NewServerTLSFromFile(""cert.pem"", ""cert.key"")'.",open,2024-08-12T02:08:56.940212Z,high,high,untriaged,,,2024-08-12 02:08:56.937169+00:00,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/shippingservice/main.go', 'line': 88, 'column': 9, 'end_line': 88, 'end_column': 25}"
javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",open,2024-08-12T02:08:56.940212Z,medium,low,untriaged,,,2024-08-12 02:08:56.937155+00:00,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/paymentservice/server.js', 'line': 37, 'column': 45, 'end_line': 37, 'end_column': 54}"
javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first.",open,2024-08-12T02:08:56.940212Z,medium,low,untriaged,,,2024-08-12 02:08:56.937121+00:00,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/paymentservice/server.js', 'line': 38, 'column': 40, 'end_line': 38, 'end_column': 49}"
dockerfile.security.missing-user-entrypoint.missing-user-entrypoint,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'.",open,2024-08-05T02:25:53.068781Z,high,medium,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/loadgenerator/Dockerfile', 'line': 35, 'column': 1, 'end_line': 35, 'end_column': 80}"
javascript.grpc.security.grpc-nodejs-insecure-connection.grpc-nodejs-insecure-connection,"Found an insecure gRPC connection. This creates a connection without encryption to a gRPC client/server. A malicious attacker could tamper with the gRPC message, which could compromise the machine.",open,2024-08-05T02:25:53.068781Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/currencyservice/client.js', 'line': 21, 'column': 1, 'end_line': 29, 'end_column': 37}"
python.lang.best-practice.sleep.arbitrary-sleep,time.sleep() call; did you mean to leave this in?,open,2024-08-05T02:25:53.068781Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/emailservice/email_server.py', 'line': 134, 'column': 7, 'end_line': 134, 'end_column': 23}"
python.lang.best-practice.sleep.arbitrary-sleep,time.sleep() call; did you mean to leave this in?,open,2024-08-05T02:25:53.068781Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/emailservice/email_server.py', 'line': 158, 'column': 9, 'end_line': 158, 'end_column': 23}"
python.lang.best-practice.sleep.arbitrary-sleep,time.sleep() call; did you mean to leave this in?,open,2024-08-05T02:25:53.068781Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/recommendationservice/recommendation_server.py', 'line': 61, 'column': 9, 'end_line': 61, 'end_column': 23}"
python.lang.best-practice.sleep.arbitrary-sleep,time.sleep() call; did you mean to leave this in?,open,2024-08-05T02:25:53.068781Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/new-project', 'url': 'https://github.com/Semgrep-Demo/new-project'}","{'file_path': 'src/recommendationservice/recommendation_server.py', 'line': 151, 'column': 13, 'end_line': 151, 'end_column': 30}"
