Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
java.servlets.security.crlf-injection-logs-deepsemgrep.crlf-injection-logs-deepsemgrep,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content.",open,2024-08-12T14:10:27.862086Z,high,medium,untriaged,,,2024-08-12 14:10:27.858239+00:00,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/api/jwt/JwtLog4jController.java', 'line': 24, 'column': 13, 'end_line': 24, 'end_column': 63}"
java.spring.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`connection.PreparedStatement`) or a safe library.",open,2024-08-12T14:10:27.862086Z,high,medium,untriaged,,,2024-08-12 14:10:27.858210+00:00,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/service/UserSearchService.java', 'line': 30, 'column': 28, 'end_line': 31, 'end_column': 50}"
generic.secrets.security.detected-private-key.detected-private-key,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file.",open,2024-08-05T14:06:50.689100Z,high,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/keyStore.pem', 'line': 5, 'column': 1, 'end_line': 6, 'end_column': 59}"
java.spring.security.audit.spring-actuator-fully-enabled.spring-actuator-fully-enabled,"Spring Boot Actuator is fully enabled. This exposes sensitive endpoints such as /actuator/env, /actuator/logfile, /actuator/heapdump and others. Unless you have Spring Security enabled or another means to protect these endpoints, this functionality is available without authentication, causing a significant security risk.",open,2024-08-05T14:06:50.689100Z,high,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/application-postgresql.properties', 'line': 36, 'column': 1, 'end_line': 36, 'end_column': 44}"
java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',open,2024-08-05T14:06:50.689100Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",open,2024-08-05T14:06:50.689100Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',open,2024-08-05T14:06:50.689100Z,medium,high,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,"The application does not appear to verify inbound requests which can lead to a Cross-site request forgery (CSRF) vulnerability. If the application uses cookie-based authentication, an attacker can trick users into sending authenticated HTTP requests without their knowledge from any arbitrary domain they visit. To prevent this vulnerability start by identifying if the framework or library leveraged has built-in features or offers plugins for CSRF protection. CSRF tokens should be unique and securely random. The `Synchronizer Token` or `Double Submit Cookie` patterns with defense-in-depth mechanisms such as the `sameSite` cookie flag can help prevent CSRF. For more information, see: [Cross-site request forgery prevention](https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html)",open,2024-08-05T14:06:50.689100Z,medium,high,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",open,2024-08-05T14:06:50.689100Z,medium,high,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,open,2024-08-05T14:06:50.689100Z,medium,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 47, 'column': 13, 'end_line': 50, 'end_column': 42}"
