Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
python.flask.db.generic-sql-flask.generic-sql-flask,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value.",open,2024-08-30T14:45:00.030172Z,high,high,untriaged,,,,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 265, 'column': 54, 'end_line': 265, 'end_column': 63}"
python.flask.deserialization.tainted-pyyaml-flask.tainted-pyyaml-flask,"The application may convert user-controlled data into an object, which can lead to an insecure deserialization vulnerability. An attacker can create a malicious serialized object, pass it to the application, and take advantage of the deserialization process to perform Denial-of-service (DoS), Remote code execution (RCE), or bypass access control measures. PyYAML's `yaml` module is as powerful as `pickle` and so may call auny Python function. It is recommended to secure your application by using `yaml.SafeLoader` or `yaml.CSafeLoader`.",open,2024-08-16T14:22:10.338219Z,high,high,untriaged,,,,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 329, 'column': 27, 'end_line': 329, 'end_column': 28}"
python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",open,2024-08-16T14:22:10.309358Z,high,low,untriaged,,,2024-08-16 14:22:10.306649+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 261, 'column': 33, 'end_line': 261, 'end_column': 124}"
python.flask.security.dangerous-template-string.dangerous-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,open,2024-08-16T14:22:10.309358Z,high,low,untriaged,,,2024-08-16 14:22:10.306635+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 103, 'column': 5, 'end_line': 114, 'end_column': 89}"
python.flask.security.dangerous-template-string.dangerous-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,open,2024-08-16T14:22:10.309358Z,high,low,untriaged,,,2024-08-16 14:22:10.306622+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 271, 'column': 21, 'end_line': 281, 'end_column': 100}"
python.flask.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as SQLAlchemy which will protect your queries.",open,2024-08-16T14:22:10.309358Z,high,medium,untriaged,,,2024-08-16 14:22:10.306608+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 261, 'column': 33, 'end_line': 261, 'end_column': 124}"
python.flask.security.insecure-deserialization.insecure-deserialization,"Detected the use of an insecure deserialization library in a Flask route. These libraries are prone to code execution vulnerabilities. Ensure user data does not enter this function. To fix this, try to avoid serializing whole objects. Consider instead using a serializer such as JSON.",open,2024-08-16T14:22:10.309358Z,high,low,untriaged,,,2024-08-16 14:22:10.306594+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 329, 'column': 17, 'end_line': 329, 'end_column': 29}"
python.jwt.security.jwt-hardcode.jwt-python-hardcoded-secret,Hardcoded JWT secret or private key is used. This is a Insufficiently Protected Credentials weakness: https://cwe.mitre.org/data/definitions/522.html Consider using an appropriate security mechanism to protect the credentials (e.g. keeping secrets in environment variables),open,2024-08-16T14:22:10.309358Z,high,high,untriaged,,,2024-08-16 14:22:10.306581+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 184, 'column': 176, 'end_line': 184, 'end_column': 193}"
python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option.",open,2024-08-16T14:22:10.309358Z,high,low,untriaged,,,2024-08-16 14:22:10.306567+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 265, 'column': 36, 'end_line': 265, 'end_column': 64}"
python.django.security.injection.raw-html-format.raw-html-format,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is safe, check that the HTML is rendered safely. Otherwise, use templates (`django.shortcuts.render`) which will safely render HTML instead.",open,2024-08-16T14:22:10.309358Z,medium,medium,untriaged,,,2024-08-16 14:22:10.306553+00:00,"{'name': 'Semgrep-Demo/python-app', 'url': 'https://github.com/Semgrep-Demo/python-app'}","{'file_path': 'app/app.py', 'line': 103, 'column': 16, 'end_line': 112, 'end_column': 22}"
