Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,A byte-string (narrow string) is used in an API that expects a wide-string. This can trigger an out-of-bounds read.,open,2024-09-01T10:57:19.046343Z,medium,high,untriaged,,,2024-09-01 10:57:19.043235+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/pathfn.cpp', 'line': 165, 'column': 24, 'end_line': 165, 'end_column': 28}"
cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,A byte-string (narrow string) is used in an API that expects a wide-string. This can trigger an out-of-bounds read.,open,2024-09-01T10:57:19.046343Z,medium,high,untriaged,,,2024-09-01 10:57:19.043221+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/pathfn.cpp', 'line': 167, 'column': 12, 'end_line': 167, 'end_column': 16}"
cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,A byte-string (narrow string) is used in an API that expects a wide-string. This can trigger an out-of-bounds read.,open,2024-09-01T10:57:19.046343Z,medium,high,untriaged,,,2024-09-01 10:57:19.043207+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/pathfn.cpp', 'line': 864, 'column': 15, 'end_line': 864, 'end_column': 20}"
cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,A byte-string (narrow string) is used in an API that expects a wide-string. This can trigger an out-of-bounds read.,open,2024-09-01T10:57:19.046343Z,medium,high,untriaged,,,2024-09-01 10:57:19.043192+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/strfn.cpp', 'line': 320, 'column': 26, 'end_line': 320, 'end_column': 30}"
cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,A byte-string (narrow string) is used in an API that expects a wide-string. This can trigger an out-of-bounds read.,open,2024-09-01T10:57:19.046343Z,medium,high,untriaged,,,2024-09-01 10:57:19.043139+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/strfn.cpp', 'line': 323, 'column': 13, 'end_line': 323, 'end_column': 17}"
cpp.lang.security.memory.allocation.tainted-allocation-size.tainted-allocation-size,Externally controlled data influences the size of an allocation. This can usually lead to overflow or underflow and later trigger an out of bounds conditions.,open,2024-08-11T10:39:49.577901Z,medium,medium,untriaged,,,2024-08-11 10:39:49.574407+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/cmddata.cpp', 'line': 39, 'column': 24, 'end_line': 39, 'end_column': 44}"
cpp.lang.security.strings.wide-to-narrow-string-mismatch.wide-to-narrow-string-mismatch,A wide-string is used in an API that should consume byte-string (narrow string). This can trigger an out-of-bounds read.,open,2024-08-11T10:39:49.577901Z,medium,high,untriaged,,,2024-08-11 10:39:49.574232+00:00,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/pathfn.cpp', 'line': 790, 'column': 31, 'end_line': 790, 'end_column': 46}"
cpp.lang.security.filesystem.world-writable-file.world-writable-file,This call makes a world-writable file which allows any user on a machine to write to the file. This may allow attackers to influence the behaviour of this process by writing to the file.,open,2024-08-04T10:13:19.145013Z,medium,high,untriaged,,,,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'reference/unrar/file.cpp', 'line': 192, 'column': 72, 'end_line': 192, 'end_column': 76}"
java.servlets.security.crlf-injection-logs-deepsemgrep.crlf-injection-logs-deepsemgrep,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content.",open,2024-07-07T23:56:50.227901Z,high,medium,untriaged,,,,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'src/assistant-fix-custom-message.java', 'line': 14, 'column': 9, 'end_line': 14, 'end_column': 37}"
semgrep_demo.crlf-injection-logs-deepsemgrep-javaorg-copy,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content. Please use the Jsoup.clean() function to sanitize data.",open,2024-07-07T23:56:50.227896Z,high,medium,untriaged,,,,"{'name': 'Semgrep-Demo/sharpcompress', 'url': 'https://github.com/Semgrep-Demo/sharpcompress'}","{'file_path': 'src/assistant-fix-custom-message.java', 'line': 14, 'column': 9, 'end_line': 14, 'end_column': 37}"
