Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-02-27T18:36:31.391801Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'templates/base.html', 'line': 18, 'column': 18, 'end_line': 18, 'end_column': 73}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-02-27T18:36:31.391797Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'templates/base.html', 'line': 19, 'column': 18, 'end_line': 19, 'end_column': 70}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-02-27T18:36:31.391793Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'templates/base.html', 'line': 24, 'column': 33, 'end_line': 24, 'end_column': 64}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",open,2024-02-27T18:36:31.391790Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'templates/base.html', 'line': 25, 'column': 39, 'end_line': 25, 'end_column': 72}"
python.django.security.injection.command.command-injection-os-system.command-injection-os-system,"Request data detected in os.system. This could be vulnerable to a command injection and should be avoided. If this must be done, use the 'subprocess' module instead and pass the arguments as a list. See https://owasp.org/www-community/attacks/Command_Injection for more information.",open,2024-02-27T18:36:31.391787Z,high,medium,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/sql_injection/sql_injection_login.py', 'line': 49, 'column': 5, 'end_line': 50, 'end_column': 52}"
python.django.security.injection.command.command-injection-os-system.command-injection-os-system,"Request data detected in os.system. This could be vulnerable to a command injection and should be avoided. If this must be done, use the 'subprocess' module instead and pass the arguments as a list. See https://owasp.org/www-community/attacks/Command_Injection for more information.",open,2024-02-27T18:36:31.391784Z,high,medium,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/sql_injection/sql_injection_login.py', 'line': 54, 'column': 5, 'end_line': 55, 'end_column': 52}"
python.django.security.injection.command.subprocess-injection.subprocess-injection,"Detected user input entering a `subprocess` call unsafely. This could result in a command injection vulnerability. An attacker could use this vulnerability to execute arbitrary commands on the host, which allows them to download malware, scan sensitive data, or run any command they wish on the server. Do not let users choose the command to run. In general, prefer to use Python API versions of system commands. If you must use subprocess, use a dictionary to allowlist a set of commands.",open,2024-02-27T18:36:31.391781Z,high,high,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/semgrep_vulns.py', 'line': 36, 'column': 5, 'end_line': 36, 'end_column': 32}"
python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",open,2024-02-27T18:36:31.391778Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/sql_injection/sql_injection_login.py', 'line': 21, 'column': 11, 'end_line': 21, 'end_column': 92}"
python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",open,2024-02-27T18:36:31.391775Z,high,low,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/sql_injection/sql_injection_search.py', 'line': 7, 'column': 11, 'end_line': 7, 'end_column': 65}"
python.flask.security.injection.os-system-injection.os-system-injection,"User data detected in os.system. This could be vulnerable to a command injection and should be avoided. If this must be done, use the 'subprocess' module instead and pass the arguments as a list.",open,2024-02-27T18:36:31.391770Z,high,medium,untriaged,,,,"{'name': 'bad-python-app', 'url': 'https://github.com/jkinsfather-demo/bad-python-app'}","{'file_path': 'vulns/semgrep_vulns.py', 'line': 15, 'column': 12, 'end_line': 15, 'end_column': 34}"
