Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
generic.secrets.security.detected-etc-shadow.detected-etc-shadow,linux shadow file detected,open,2024-05-07T22:53:21.125227Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'etc/shadow', 'line': 1, 'column': 1, 'end_line': 1, 'end_column': 14}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925847Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 32, 'column': 18, 'end_line': 32, 'end_column': 78}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925844Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 33, 'column': 16, 'end_line': 33, 'end_column': 76}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925841Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 34, 'column': 18, 'end_line': 34, 'end_column': 78}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925838Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 35, 'column': 16, 'end_line': 35, 'end_column': 76}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925836Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 36, 'column': 16, 'end_line': 36, 'end_column': 76}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925833Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 37, 'column': 17, 'end_line': 37, 'end_column': 77}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925830Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 38, 'column': 17, 'end_line': 38, 'end_column': 77}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925827Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 39, 'column': 18, 'end_line': 39, 'end_column': 78}"
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,bcrypt hash detected,open,2023-10-30T11:37:22.925824Z,high,low,untriaged,,,,"{'name': 'leaky-repo', 'url': 'https://github.com/Plazmaz/leaky-repo'}","{'file_path': 'db/dump.sql', 'line': 40, 'column': 18, 'end_line': 40, 'end_column': 78}"
