Finding Title,Finding Description & Remediation,status,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'cookie.setSecure(true);',open,2024-05-22T14:21:28.598991Z,medium,low,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'vulns/newnewnenwbadcookie.java', 'line': 23, 'column': 9, 'end_line': 23, 'end_column': 33}"
java.servlets.security.audit.cookie-secure-flag-false.cookie-secure-flag-false,A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'cookie.setSecure(true);',open,2024-05-22T14:21:28.598978Z,medium,high,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'vulns/newnewnenwbadcookie.java', 'line': 23, 'column': 9, 'end_line': 23, 'end_column': 33}"
java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,open,2024-05-22T10:36:17.897795Z,high,low,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/Cowsay.java', 'line': 11, 'column': 5, 'end_line': 11, 'end_column': 46}"
java.lang.security.audit.formatted-sql-string-deepsemgrep.formatted-sql-string-deepsemgrep,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in Java, it is possible to adopt prepared statements by using the `java.sql.PreparedStatement` class with bind variables.",open,2024-05-22T10:36:17.897791Z,high,medium,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/User.java', 'line': 49, 'column': 22, 'end_line': 49, 'end_column': 46}"
java.lang.security.audit.formatted-sql-string.formatted-sql-string,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,open,2024-05-22T10:36:17.897788Z,high,medium,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/User.java', 'line': 49, 'column': 22, 'end_line': 49, 'end_column': 46}"
java.spring.command-injection.tainted-system-command.tainted-system-command,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands. For more information, see: [Java command injection prevention](https://semgrep.dev/docs/cheat-sheets/java-command-injection/)",open,2024-05-22T10:36:17.897784Z,high,high,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/Cowsay.java', 'line': 11, 'column': 42, 'end_line': 11, 'end_column': 45}"
java.spring.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`connection.PreparedStatement`) or a safe library.",open,2024-05-22T10:36:17.897780Z,high,medium,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/User.java', 'line': 47, 'column': 22, 'end_line': 47, 'end_column': 81}"
java.spring.security.injection.tainted-url-host.tainted-url-host,"User data flows into the host portion of this manually-constructed URL. This could allow an attacker to send data to their own server, potentially exposing sensitive data such as cookies or authorization information sent with this request. They could also probe internal servers or other resources that the server runnig this code can access. (This is called server-side request forgery, or SSRF.) Do not allow arbitrary hosts. Instead, create an allowlist for approved hosts hardcode the correct host, or ensure that the user data can only affect the path or parameters.",open,2024-05-22T10:36:17.897776Z,high,medium,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/LinkLister.java', 'line': 26, 'column': 17, 'end_line': 26, 'end_column': 29}"
java.spring.security.tainted-ssrf-spring-add.tainted-ssrf-spring-add,"Untrusted input might be used to build an HTTP request, which can lead to a Server-side request forgery (SSRF) vulnerability. SSRF allows an attacker to send crafted requests from the server side to other internal or external systems. SSRF can lead to unauthorized access to sensitive data and, in some cases, allow the attacker to control applications or systems that trust the vulnerable service. To prevent this vulnerability, avoid allowing user input to craft the base request. Instead, treat it as part of the path or query parameter and encode it appropriately. When user input is necessary to prepare the HTTP request, perform strict input validation. Additionally, whenever possible, use allowlists to only interact with expected, trusted domains.",open,2024-05-22T10:36:17.897772Z,high,high,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/LinkLister.java', 'line': 16, 'column': 34, 'end_line': 16, 'end_column': 37}"
javascript.express.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as Sequelize which will protect your queries.",open,2024-05-22T10:36:17.897768Z,high,medium,untriaged,,,,"{'name': 'local_scan/vulnado', 'url': 'https://github.com/nnayar-r2c/vulnado'}","{'file_path': 'sqli.js', 'line': 35, 'column': 66, 'end_line': 35, 'end_column': 85}"
